claim_id,document,section,paragraph_index,claim_text,claim_type,evidence_type,evidence_path,evidence_key,reported_value,computed_value,status,required_action,notes
RES-003,manuscript,Results Geographic patterns,2,"New York showed the largest initial-wave peak",ranking,frozen_map,"output/reporting/inputs/figure_03_north_america_maps.rds",figure03.initial.NY,"largest initial-wave mapped value","NY is highest among mapped geographies in both 40-59 (0.510) and 60-79 (0.446)",verified_rounded,,"This is a mapped wave-median statement, not a pointwise peak."
RES-004,manuscript,Results Geographic patterns,2,"low-vaccination states including Mississippi, Louisiana, Alabama, and Arkansas",classification,registry,"config/us_reporting_cohort.csv",vaccination.named_us,"MS LA AL AR low","MS, LA and AL are low; AR is neither",requires_manuscript_edit,"Remove Arkansas from the low-vaccination examples or describe it separately as neither under the fixed rule.","Fixed July 1, 2021 rule: US low below 42 and high above 62."
RES-005,manuscript,Results Vaccination patterns,1,"low-vaccination Europe included Romania, Bulgaria and Poland; low-vaccination US included Mississippi, Louisiana, Tennessee and Texas",classification,registry,"config/europe_reporting_cohort.csv;config/us_reporting_cohort.csv",vaccination.named_locations,"Poland and Texas low","Romania, Bulgaria, Mississippi, Louisiana and Tennessee are low; Poland and Texas are neither",requires_manuscript_edit,"Remove Poland and Texas from low-vaccination examples and use only locations classified by the frozen registry.","This correction is required anywhere these examples recur."
RES-006,manuscript,Results Vaccination patterns,1,"Delta peaks often exceeded 50% in low-vaccination settings",threshold,frozen_trajectory,"output/reporting/inputs/figure_04_vaccination_pscore.csv",figure04.low.delta,"greater than 50%","pointwise maxima exceed 0.50 in displayed low-vaccination Delta trajectories, but pooled medians are lower",supported_qualitatively,,"Clarify that this refers to pointwise trajectory peaks."
RES-007,manuscript,Results Age patterns,1,"oldest age groups",age_range,contract,"config/manuscript_analysis_contract.yml",contract.source_age_bands,"oldest","Europe GE80; US sex and Canada GE85",requires_manuscript_edit,"Name source-specific oldest-age bands rather than using a single implicit cutoff.","The adopted figure panels do not all display the oldest source band."
RES-008,manuscript,Results Age patterns,2,"ages 60-79 maintained near-zero P-scores in high-vaccination areas",comparison,frozen_trajectory,"output/reporting/inputs/figure_04_vaccination_pscore.csv",figure04.age60_79.high,"near zero","high-vaccination wave medians are region- and wave-dependent and are not uniformly near zero",requires_manuscript_edit,"Replace with exact regional wave summaries or soften to lower than low-vaccination groups where supported.","Avoid repeating the unsupported near-zero wording."
RES-009,manuscript,Results Age patterns,3,"middle-aged adults (40-64 years)",age_range,contract,"config/manuscript_analysis_contract.yml",contract.source_age_bands,"40-64","Europe/non-sex US 40-59; sex-stratified US/Canada 45-64",requires_manuscript_edit,"Replace 40-64 with source-specific bands or explicitly call them approximately aligned middle-aged bands.","No primary source stratum is exactly 40-64."
RES-010,manuscript,Results Sex differences,1,"male excess mortality was generally 5-15 percentage points higher",difference,frozen_trajectory,"output/reporting/inputs/figure_05_sex_difference.csv",figure05.sex_difference,"male 5-15 percentage points higher","pooled medians vary substantially and reverse sign in some Delta strata",requires_manuscript_edit,"Use the female-minus-male sign convention and quote only exact wave/age/group summaries from Figure 5.","Duplicate of the Abstract overstatement; both locations require revision."
RES-011,manuscript,Results Sex differences,2,"Romania, Bulgaria and Serbia showed comparable or higher female mortality among ages 40-79",direction,frozen_table,"output/tables/table_01_wave_pscores.csv",table01.europe.named_sex,"female comparable or higher","Table 1 supports female-higher Delta P-scores at ages 60-79; pooled Figure 5 supports the group-level reversal",supported_qualitatively,,"If retained country-by-country for all 40-79, add a direct 40-59 plus 60-79 calculation."
RES-012,manuscript,Results Sex differences,3,"US ages 0-44 showed dramatically elevated male excess mortality across all waves in both vaccination groups",direction,frozen_trajectory,"output/reporting/inputs/figure_05_sex_difference.csv",figure05.us.0-44,"male higher in all waves","Delta median female-minus-male is positive in both groups (high 0.014; low 0.058) and all wave ranges cross or approach zero",requires_manuscript_edit,"Delete across all waves and dramatically; describe the mixed wave-specific 0-44 contrasts.","Positive Figure 5 values indicate higher female P-scores."
RES-013,manuscript,Results Sex differences,3,"older adults (65+)",age_range,contract,"config/manuscript_analysis_contract.yml",contract.figure05_ages,"65+","65-84 in US Figure 5 panel f",requires_manuscript_edit,"Replace 65+ with 65-84 when describing Figure 5 panel f.","GE85 is a separate source stratum and is not included in panel f."
RES-014,manuscript,Results Sex differences,3,"low-vaccination states showed higher female P-scores during Delta in older adults",direction,frozen_trajectory,"output/reporting/inputs/figure_05_sex_difference.csv",figure05.us.65-84.low.delta,"female higher","US 65-84 low-vaccination Delta median female-minus-male is approximately 0.047",verified_rounded,,"Report as a pooled descriptive contrast."
RES-015,manuscript,Results Supplementary analysis,1,"supplementary maps, time series and all-age analyses",supplement_scope,unsupported,"",,"available supplementary outputs",,unsupported_remove_or_reproduce,"Inventory and freeze each cited supplementary output before submission, or remove unsupported references.","Exploratory files alone are not a reproducible supplement."
RES-016,manuscript,Results Supplementary analysis,1,"interactive web application",supplement_scope,unsupported,"",,"web application available",,unsupported_remove_or_reproduce,"Supply and archive the application with a stable URL or remove the claim and placeholder.","No frozen application artifact is registered."
RES-017,manuscript,Results Supplementary analysis,1,"New York initial-wave P-score exceeded 200%",threshold,unsupported,"",,"greater than 200%",,unsupported_remove_or_reproduce,"Remove this pointwise claim or freeze the underlying full New York trajectory and a reproducible calculation.","The frozen Figure 3 wave medians are 0.510 and 0.446, not a pointwise series."
APP-001,appendix,Appendix A Model,1,"second-order integrated Wiener process and four seasonal harmonics",model_parameter,appendix_and_code,"R/europe_model.R;config/manuscript_analysis_contract.yml",model.iwp2.m4,"IWP2; m=4","IWP2; m=4",verified_exact,,"Accepted-view Appendix wording matches the corrected Europe model."
APP-002,appendix,Appendix A Model,2,"pre-2020 data",training_endpoint,contract,"config/manuscript_analysis_contract.yml",contract.training_endpoint,"pre-2020","through 2019-12-31",verified_exact,,"Training endpoint is frozen."
APP-003,appendix,Appendix A Model,2,"three components and priors h=5 u=0.1 alpha=0.01; seasonal h=1",model_parameter,code,"R/europe_model.R",model.priors,"three components and stated priors","matches corrected Europe model implementation",supported_qualitatively,,"Retain exact package parameterization in Methods/Appendix."
APP-004,appendix,Appendix A Offset,3,"monthly US calendar-day offset and weekly zero offset",offset,code,"R/figures.R;config/manuscript_analysis_contract.yml",model.offset,"monthly calendar days; weekly zero","monthly calendar-month length adjustment; weekly no offset",verified_exact,,"Do not describe this as a population denominator."
APP-005,appendix,Appendix B P-score,1,"P-score equals 100 times observed minus expected divided by expected",equation,definition,"appendices_tracked.docx",appendix.pscore,"100*(observed-expected)/expected","100*(observed-expected)/expected",verified_exact,,"Keep pointwise versus wave aggregation definitions separate."
APP-006,appendix,Appendix B Combined ages,2,"US 0-44, 45-64 and 65-84 combine to 0-84; other regions 40-59 and 60-79 combine to 40-79",age_aggregation,contract,"config/manuscript_analysis_contract.yml",contract.combined_ages,"US 0-84; others 40-79","Figure 5 US 0-84 and Europe 40-79; Figure 4 US and Europe 40-79",requires_manuscript_edit,"Qualify the equation by figure: Figure 4 US combines 40-59 and 60-79, whereas Figure 5 US combines 0-44, 45-64 and 65-84.","The current Appendix wording overgeneralizes the US combined-age estimand."
APP-007,appendix,Appendix B Pooling,3,"inverse-variance pooling",aggregation,code,"R/figures.R",analysis.inverse_variance,"inverse variance","inverse-variance fixed-effect pooling with normal-approximation intervals",verified_exact,,"Name the interval method consistently."
